external_id,name,date_of_birth,outcome_datetime,age_outcome_days,animal_type,outcome_type,outcome_subtype,sex,is_intact,breed,color
A521520,Nina,2006-10-03,2013-10-01 07:51:00,2555.0,Dog,Stray,Normal,Female,False,Border Terrier/Border Collie,White/Tan
A664235,,2013-09-24,2013-10-01 08:33:00,7.0,Cat,Stray,Normal,Unknown,,Domestic Shorthair Mix,Orange/White
A664236,,2013-09-24,2013-10-01 08:33:00,7.0,Cat,Stray,Normal,Unknown,,Domestic Shorthair Mix,Orange/White
A664237,,2013-09-24,2013-10-01 08:33:00,7.0,Cat,Stray,Normal,Unknown,,Domestic Shorthair Mix,Orange/White
A664233,Stevie,2010-10-02,2013-10-01 08:53:00,1095.0,Dog,Stray,Injured,Female,True,Pit Bull Mix,Blue/White
A664238,,2013-06-03,2013-10-01 09:33:00,120.0,Cat,Stray,Normal,Unknown,,American Shorthair Mix,Black/White
A664234,,2005-10-03,2013-10-01 10:37:00,2920.0,Dog,Stray,Injured,Male,True,Border Collie Mix,Black/White
A664256,*Donnie,1996-10-05,2013-10-01 10:59:00,6205.0,Cat,Owner Surrender,Normal,Male,False,Domestic Shorthair Mix,Brown Tabby/White
A664257,Pippin,2009-10-02,2013-10-01 11:01:00,1460.0,Dog,Stray,Normal,Female,True,Podengo Pequeno Mix,Black
A664266,,2012-10-01,2013-10-01 11:09:00,365.0,Dog,Stray,Normal,Female,True,Chihuahua Shorthair Mix,Buff
A664258,Sylvio,2006-10-03,2013-10-01 11:15:00,2555.0,Dog,Stray,Normal,Male,False,Weimaraner Mix,Silver
A648744,Claire,2012-10-01,2013-10-01 11:15:00,365.0,Dog,Stray,Normal,Female,False,Anatol Shepherd Mix,White/Tricolor
A664260,,2013-09-10,2013-10-01 11:21:00,21.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Black/White
A664261,,2013-09-10,2013-10-01 11:21:00,21.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Tortie
A651630,Heather,2007-10-03,2013-10-01 11:23:00,2190.0,Dog,Owner Surrender,Injured,Female,False,Labrador Retriever/Chinese Sharpei,Tan
A664259,*Petunia,2008-10-02,2013-10-01 11:25:00,1825.0,Dog,Stray,Normal,Female,True,Pit Bull Mix,Black
A664269,*Bismark,2011-10-02,2013-10-01 11:28:00,730.0,Dog,Stray,Normal,Male,False,Great Pyrenees Mix,White
A664262,,2013-09-24,2013-10-01 11:45:00,7.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Orange Tabby
A664263,,2013-09-24,2013-10-01 11:45:00,7.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Orange Tabby
A664265,*Dixon,2013-08-02,2013-10-01 11:51:00,60.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Brown Tabby
A664264,*Mason,2013-08-02,2013-10-01 11:51:00,60.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Brown Tabby
A664267,*Asti,2013-06-03,2013-10-01 11:59:00,120.0,Dog,Stray,Normal,Female,True,Pit Bull Mix,White/Black
A664268,*Kochka,2010-10-02,2013-10-01 12:05:00,1095.0,Cat,Stray,Normal,Female,True,Russian Blue Mix,Blue
A664271,,2013-09-24,2013-10-01 12:35:00,7.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Orange Tabby
A664272,*Grace,2012-10-01,2013-10-01 13:12:00,365.0,Dog,Stray,Normal,Female,False,Cairn Terrier Mix,Brown
A664273,Buffy,2012-10-01,2013-10-01 13:32:00,365.0,Dog,Stray,Normal,Female,True,Dachshund/Chihuahua Shorthair,Brown
A664253,Moose,2011-10-02,2013-10-01 13:44:00,730.0,Dog,Public Assist,Normal,Male,False,Black/Tan Hound Mix,Black/Brown
A664274,Estrella,2005-10-03,2013-10-01 13:48:00,2920.0,Dog,Owner Surrender,Normal,Female,True,Siberian Husky Mix,Buff
A658012,Lucio,2010-10-02,2013-10-01 13:48:00,1095.0,Dog,Stray,Normal,Male,False,Chihuahua Shorthair Mix,Red
A664277,*Pogo,2013-02-03,2013-10-01 14:12:00,240.0,Dog,Stray,Normal,Female,True,Chihuahua Shorthair Mix,White/Brown
A636021,Sera,2012-10-01,2013-10-01 14:12:00,365.0,Dog,Public Assist,Normal,Female,False,Pit Bull Mix,Brown
A664275,Mcdermot,2011-10-02,2013-10-01 14:12:00,730.0,Dog,Stray,Normal,Male,True,Chihuahua Shorthair Mix,Tricolor
A664280,Coco,2007-10-03,2013-10-01 14:34:00,2190.0,Dog,Stray,Normal,Female,False,Miniature Poodle Mix,Apricot
A660220,Jade,2012-10-01,2013-10-01 14:35:00,365.0,Dog,Euthanasia Request,Injured,Female,False,Yorkshire Terrier/Miniature Poodle,Gray
A634503,Otter,2011-10-02,2013-10-01 14:49:00,730.0,Dog,Owner Surrender,Normal,Female,False,Norfolk Terrier Mix,Tan
A664281,,2011-10-02,2013-10-01 15:13:00,730.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Brown Tabby
A664282,,2011-10-02,2013-10-01 15:13:00,730.0,Cat,Stray,Normal,Female,True,Domestic Longhair Mix,Brown Tabby
A664284,,2013-10-01,2013-10-01 15:20:00,0.0,Cat,Stray,Nursing,Male,True,Domestic Shorthair Mix,Black/White
A664283,Juliet,2012-10-01,2013-10-01 15:20:00,365.0,Cat,Stray,Nursing,Female,True,Domestic Shorthair Mix,Black/White
A664285,,2013-10-01,2013-10-01 15:20:00,0.0,Cat,Stray,Nursing,Male,True,Domestic Shorthair Mix,Black
A664287,Daisy,2013-06-03,2013-10-01 15:38:00,120.0,Dog,Stray,Normal,Female,True,Chihuahua Shorthair Mix,Brown/White
A664286,Sugar,2011-10-02,2013-10-01 15:38:00,730.0,Dog,Stray,Normal,Female,True,Chihuahua Shorthair Mix,White/Brown
A664288,,2011-10-02,2013-10-01 15:52:00,730.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Blue/White
A659642,*Trevor,2011-10-02,2013-10-01 15:58:00,730.0,Dog,Owner Surrender,Normal,Male,False,Dachshund/Basset Hound,Brown Brindle
A664297,*Tybalt,2013-09-01,2013-10-01 16:03:00,30.0,Cat,Stray,Normal,Male,True,Domestic Medium Hair Mix,Orange Tabby/White
A664289,,2013-07-03,2013-10-01 16:03:00,90.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Brown Tabby/White
